count,date,close,ma200,deviation,average,sigma
2226,2019-10-14,1.1029006242752075,1.1262172842025757,0.9792964819005795,0.9897199922769275,0.0415727821703743
2227,2019-10-15,1.1034727096557617,1.1260563784837723,0.9799444599226734,0.9897151719947017,0.041563097790051816
2228,2019-10-16,1.107493281364441,1.125932292342186,0.9836233394288854,0.9897121696129539,0.041553074238287385
2229,2019-10-17,1.1127183437347412,1.125809154510498,0.9883720871132473,0.9897115094737916,0.0415428488722782
2230,2019-10-20,1.1155734062194824,1.1257052034139634,0.9909995999274465,0.9897121436886875,0.04153263025223066
2231,2019-10-21,1.1151753664016724,1.1256281054019928,0.9907138610433084,0.9897126366598265,0.04152241529478604
2232,2019-10-22,1.112928867340088,1.1255178320407868,0.9888149575756853,0.9897121951059238,0.041512206706413146
2233,2019-10-23,1.1132385730743408,1.12539632499218,0.9891969152130263,0.9897119417726432,0.04150200244982776
2234,2019-10-24,1.1103955507278442,1.1252535420656204,0.9867958724124507,0.9897105088147264,0.04149185447441619
2235,2019-10-28,1.1084262132644653,1.125067246556282,0.9852088545438032,0.9897082977861063,0.04148178358427107
2236,2019-10-29,1.1099148988723755,1.1249304151535033,0.9866520488033218,0.9897067974184173,0.04147165551447042
2237,2019-10-30,1.1114816665649414,1.1247858542203903,0.9881718038989117,0.9897060442321955,0.041461493604956136
2238,2019-10-31,1.1154489517211914,1.1246553361415863,0.9918140392664835,0.9897070780698779,0.041451351518259905
2239,2019-11-01,1.1157102584838867,1.1245532310009003,0.9921364571518388,0.9897082689419769,0.04144122551664237
2240,2019-11-04,1.1166571378707886,1.1244209897518158,0.9930952446176402,0.9897099284107058,0.04143113988345701
2241,2019-11-05,1.1128545999526978,1.124265289902687,0.9898505361212593,0.9897099972685464,0.04142099401263792
2242,2019-11-06,1.107419729232788,1.1240558564662932,0.9851999105402072,0.9897077896881605,0.041410975630802246
2243,2019-11-07,1.1070396900177002,1.1238601988554,0.9850332729508254,0.9897055027425943,0.04140097354980728
2244,2019-11-08,1.1019697189331055,1.1237109941244126,0.9806522537334008,0.9897010757259638,0.04139133373653691
2245,2019-11-11,1.102244257926941,1.1235266762971878,0.9810574872682263,0.9896968510981741,0.04138165831205947
2246,2019-11-12,1.1035456657409668,1.123339182138443,0.9823797507358406,0.9896932765498779,0.04137186514508526
2247,2019-11-13,1.1012367010116577,1.1231054967641831,0.9805282800097298,0.9896888014539111,0.0413622589127011
2248,2019-11-14,1.1013215780258179,1.122884071469307,0.980797222089655,0.9896844619813078,0.04135263070984837
2249,2019-11-15,1.1020498275756836,1.1226168459653854,0.9816793962573978,0.9896805570711985,0.04134292133549203
2250,2019-11-18,1.105509877204895,1.1223893308639525,0.9849611420966871,0.9896782560400065,0.041332972686258324
2251,2019-11-19,1.1072357892990112,1.12219544172287,0.9866692985306628,0.9896767896864447,0.041322953432589356
2252,2019-11-20,1.1080001592636108,1.121998997926712,0.9875233055564497,0.9896757407414227,0.04131291549093428
2253,2019-11-21,1.1078859567642212,1.1218300133943557,0.9875702588951569,0.9896747156772326,0.041302883683019334
2254,2019-11-22,1.1065863370895386,1.1216639006137847,0.986557859697548,0.9896731989589945,0.041292890311136046
2255,2019-11-25,1.1022562980651855,1.121478863954544,0.982859627134143,0.9896698849649163,0.0412831203913989
2256,2019-11-26,1.1014429330825806,1.1213032913208008,0.9822881477367053,0.9896662963712222,0.04127340513762854
2257,2019-11-27,1.1022562980651855,1.1211299121379852,0.983165542308288,0.9896631375985968,0.041263625066471216
2258,2019-11-28,1.1004853248596191,1.1209503269195558,0.9817431677671429,0.9896592910858082,0.04125397259291339
2259,2019-11-29,1.101176142692566,1.120762095451355,0.9825244332956304,0.9896558275626091,0.04124425771096533
2260,2019-12-02,1.1019041538238525,1.1206148678064347,0.9833031717496237,0.989652745245378,0.04123448793103133
2261,2019-12-03,1.1079105138778687,1.120447895526886,0.9888103840445684,0.9896523367287917,0.04122449222675802
2262,2019-12-04,1.1085245609283447,1.120275514125824,0.989510657825411,0.989652268052639,0.04121449973952194
2263,2019-12-05,1.108303427696228,1.1200993478298187,0.9894688626000496,0.989652179193408,0.041204514594886596
2264,2019-12-06,1.1105434894561768,1.1199082398414613,0.9916379306338435,0.9896531408163818,0.041194559672615476
2265,2019-12-09,1.105888843536377,1.1197129303216935,0.9876539009142773,0.9896521731300787,0.04118461230020411
2266,2019-12-10,1.106499433517456,1.1195177882909775,0.9883714623298707,0.9896515535312396,0.041174658314159625
2267,2019-12-11,1.1092746257781982,1.1193460196256637,0.9910024302843963,0.9896522067598437,0.04116471263532468
2268,2019-12-12,1.1135857105255127,1.1192089855670928,0.9949756702152183,0.9896547797242977,0.041154929788593586
2269,2019-12-13,1.1186057329177856,1.1191190338134767,0.9995413348534142,0.9896595558378867,0.041145561318292306
2270,2019-12-16,1.1124460697174072,1.119011880159378,0.9941324926407076,0.9896617156335423,0.04113574374363644
2271,2019-12-17,1.1136974096298218,1.1189182376861573,0.9953340397175653,0.9896644532416912,0.04112600466883418
2272,2019-12-18,1.115138053894043,1.1188544064760209,0.9966784305800046,0.9896678367329301,0.041116372484750995
2273,2019-12-19,1.1115927696228027,1.118745042681694,0.9936068784342973,0.9896697359815807,0.04110654990709247
2274,2019-12-20,1.1125946044921875,1.1186755454540254,0.9945641602817287,0.9896720947402795,0.04109678391147308
2275,2019-12-23,1.1079840660095215,1.118567790389061,0.9905381466635489,0.9896725119136531,0.04108688904446565
2276,2019-12-24,1.109385371208191,1.1184657019376756,0.9918814401606115,0.9896735754323082,0.041077025513621364
2277,2019-12-25,1.1090162992477417,1.1183548027276993,0.9916497846147031,0.9896745264473142,0.04106716340669334
2278,2019-12-26,1.1095454692840576,1.11823102414608,0.992232772410643,0.9896757569648531,0.04105732387387603
2279,2019-12-27,1.110111951828003,1.1181084048748016,0.9928482309837443,0.9896772821927469,0.04104751205083767
2280,2019-12-30,1.1182304620742798,1.1180280512571334,1.0001810427000635,0.9896823296509436,0.04103829406059779
2281,2019-12-31,1.120229721069336,1.1179580795764923,1.0020319558795123,0.989688261267768,0.041029329653468616
2282,2020-01-01,1.1220825910568237,1.1178847366571427,1.0037551764166974,0.9896950144675515,0.04102063723007354
2283,2020-01-02,1.1220825910568237,1.1177985721826553,1.0038325499609497,0.9897017983137575,0.041011962955951727
2284,2020-01-03,1.1171437501907349,1.1176941961050033,0.9995075165316357,0.9897065012961164,0.04100268886226752
2285,2020-01-06,1.1161960363388062,1.1175884467363357,0.9987540937796952,0.9897108385887738,0.040993338031496844
